txn_id,timestamp,sender_id,receiver_id,amount,merchant,city,status
TXN350851,2026-06-10 18:30:06,USR5985,USR1446,39060.9,IRCTC,Chennai,SUCCESS
TXN895018,2026-06-10 18:30:06,USR6015,USR9757,10241.22,Swiggy,Bangalore,PENDING
TXN644439,2026-06-10 18:30:06,USR1752,USR4058,39444.58,Zomato,Delhi,PENDING
TXN924520,2026-06-10 18:30:06,USR9583,USR5104,28307.11,Zomato,Pune,SUCCESS
TXN444238,2026-06-10 18:30:06,USR5587,USR9778,23952.93,Amazon,Delhi,PENDING
TXN413097,2026-06-10 18:30:06,USR2921,USR1679,42908.24,IRCTC,Hyderabad,SUCCESS
TXN331150,2026-06-10 18:30:06,USR2631,USR4048,494.24,IRCTC,Chennai,PENDING
TXN957550,2026-06-10 18:30:06,USR6921,USR4110,10845.07,Swiggy,Delhi,SUCCESS
TXN669367,2026-06-10 18:30:06,USR7971,USR9597,8897.74,Myntra,Delhi,PENDING
TXN813512,2026-06-10 18:30:06,USR5884,USR2442,27742.08,IRCTC,Bangalore,PENDING
TXN917887,2026-06-10 18:30:06,USR8658,USR5143,8364.38,Zomato,Chennai,PENDING
TXN323746,2026-06-10 18:30:06,USR5280,USR7708,6177.97,BigBasket,Delhi,FAILED
TXN336061,2026-06-10 18:30:06,USR7347,USR9205,13802.75,BigBasket,Chennai,SUCCESS
TXN810562,2026-06-10 18:30:06,USR2933,USR1023,38795.4,Zomato,Pune,PENDING
TXN398383,2026-06-10 18:30:06,USR8715,USR1972,6586.54,Myntra,Pune,PENDING
TXN527747,2026-06-10 18:30:06,USR8972,USR6862,903.65,Swiggy,Mumbai,SUCCESS
TXN339733,2026-06-10 18:30:06,USR7193,USR7974,32993.5,Zomato,Mumbai,PENDING
TXN588675,2026-06-10 18:30:06,USR9572,USR7644,18747.03,Flipkart,Bangalore,FAILED
TXN663050,2026-06-10 18:30:06,USR7712,USR2321,21603.66,Myntra,Delhi,SUCCESS
TXN551558,2026-06-10 18:30:06,USR4716,USR4142,13072.82,IRCTC,Mumbai,SUCCESS
TXN341194,2026-06-10 18:30:06,USR2788,USR5849,39078.29,Amazon,Chennai,FAILED
TXN514041,2026-06-10 18:30:06,USR2051,USR9644,45521.62,Flipkart,Mumbai,PENDING
TXN475955,2026-06-10 18:30:06,USR1922,USR7333,25089.16,Flipkart,Delhi,FAILED
TXN352416,2026-06-10 18:30:06,USR5273,USR8025,29262.66,IRCTC,Hyderabad,PENDING
TXN546115,2026-06-10 18:30:06,USR1937,USR5999,10168.05,Amazon,Mumbai,SUCCESS
TXN958991,2026-06-10 18:30:06,USR1410,USR5050,19514.54,Zomato,Pune,SUCCESS
TXN497265,2026-06-10 18:30:06,USR8506,USR4798,46461.95,Flipkart,Mumbai,FAILED
TXN474792,2026-06-10 18:30:06,USR9291,USR7980,38330.94,BigBasket,Hyderabad,PENDING
TXN630861,2026-06-10 18:30:06,USR3390,USR1301,29012.43,Myntra,Pune,PENDING
TXN410403,2026-06-10 18:30:06,USR7491,USR1232,43555.61,Zomato,Mumbai,FAILED
TXN223769,2026-06-10 18:30:06,USR9420,USR3470,21964.23,Zomato,Delhi,SUCCESS
TXN567384,2026-06-10 18:30:06,USR4874,USR3738,30751.59,IRCTC,Pune,FAILED
TXN753287,2026-06-10 18:30:06,USR9819,USR3629,19056.47,Amazon,Mumbai,FAILED
TXN278563,2026-06-10 18:30:06,USR9777,USR9111,39345.19,IRCTC,Delhi,SUCCESS
TXN355856,2026-06-10 18:30:06,USR5742,USR3821,13450.36,Flipkart,Mumbai,PENDING
TXN477825,2026-06-10 18:30:06,USR4168,USR2884,27160.1,Swiggy,Mumbai,SUCCESS
TXN330988,2026-06-10 18:30:06,USR7508,USR5892,4944.47,Zomato,Bangalore,PENDING
TXN514949,2026-06-10 18:30:06,USR7402,USR9371,40425.82,Myntra,Hyderabad,FAILED
TXN640802,2026-06-10 18:30:06,USR3303,USR2296,49335.97,Swiggy,Pune,PENDING
TXN142015,2026-06-10 18:30:06,USR4021,USR1391,40907.74,Swiggy,Chennai,PENDING
TXN140833,2026-06-10 18:30:06,USR1525,USR4688,28484.19,Flipkart,Chennai,SUCCESS
TXN163237,2026-06-10 18:30:06,USR2053,USR4301,49566.89,Myntra,Delhi,SUCCESS
TXN884089,2026-06-10 18:30:06,USR5479,USR2752,1115.3,BigBasket,Bangalore,FAILED
TXN482763,2026-06-10 18:30:06,USR3590,USR5650,5595.18,Swiggy,Bangalore,FAILED
TXN349250,2026-06-10 18:30:06,USR5313,USR6515,4503.94,Amazon,Hyderabad,FAILED
TXN965988,2026-06-10 18:30:06,USR3034,USR5015,20547.53,Zomato,Delhi,SUCCESS
TXN374498,2026-06-10 18:30:06,USR7669,USR7525,35673.44,Myntra,Pune,PENDING
TXN191152,2026-06-10 18:30:06,USR2807,USR3339,11895.6,IRCTC,Bangalore,SUCCESS
TXN937287,2026-06-10 18:30:06,USR2786,USR5262,27827.22,IRCTC,Bangalore,FAILED
TXN459656,2026-06-10 18:30:06,USR1330,USR5902,45775.3,Flipkart,Delhi,PENDING
TXN943060,2026-06-10 18:30:06,USR5150,USR3603,36875.45,Flipkart,Hyderabad,SUCCESS
TXN265714,2026-06-10 18:30:06,USR1616,USR5060,4347.91,IRCTC,Bangalore,PENDING
TXN250097,2026-06-10 18:30:06,USR6829,USR4836,28689.4,Amazon,Hyderabad,FAILED
TXN440301,2026-06-10 18:30:06,USR7492,USR3212,10972.46,Swiggy,Bangalore,SUCCESS
TXN834788,2026-06-10 18:30:06,USR7833,USR9980,36006.53,IRCTC,Mumbai,FAILED
TXN167979,2026-06-10 18:30:06,USR9750,USR7497,42116.21,Zomato,Mumbai,FAILED
TXN526067,2026-06-10 18:30:06,USR4793,USR1660,23583.58,BigBasket,Delhi,SUCCESS
TXN403642,2026-06-10 18:30:06,USR1410,USR2870,14439.62,Zomato,Delhi,PENDING
TXN852779,2026-06-10 18:30:06,USR5529,USR7425,40582.51,Myntra,Chennai,PENDING
TXN773528,2026-06-10 18:30:06,USR4300,USR6741,30441.84,BigBasket,Delhi,PENDING
TXN948643,2026-06-10 18:30:06,USR7343,USR2721,23242.02,Amazon,Bangalore,SUCCESS
TXN411956,2026-06-10 18:30:06,USR7135,USR6190,7431.55,Myntra,Bangalore,SUCCESS
TXN105323,2026-06-10 18:30:06,USR3774,USR2682,3788.46,Amazon,Bangalore,PENDING
TXN205809,2026-06-10 18:30:06,USR5614,USR6445,45576.45,IRCTC,Delhi,FAILED
TXN354560,2026-06-10 18:30:06,USR7739,USR1916,24389.13,Myntra,Mumbai,FAILED
TXN826227,2026-06-10 18:30:06,USR2168,USR2338,48248.37,Myntra,Hyderabad,PENDING
TXN113588,2026-06-10 18:30:06,USR9419,USR8599,8633.86,Swiggy,Delhi,FAILED
TXN652219,2026-06-10 18:30:06,USR1288,USR2588,27455.83,BigBasket,Delhi,PENDING
TXN740593,2026-06-10 18:30:06,USR7200,USR6561,28345.91,Amazon,Hyderabad,SUCCESS
TXN655139,2026-06-10 18:30:06,USR5408,USR7273,29799.15,BigBasket,Bangalore,PENDING
TXN951024,2026-06-10 18:30:06,USR7811,USR7909,43787.07,Zomato,Delhi,PENDING
TXN311414,2026-06-10 18:30:06,USR1862,USR3481,24419.61,BigBasket,Hyderabad,SUCCESS
TXN867014,2026-06-10 18:30:06,USR7621,USR4811,12761.08,Zomato,Bangalore,PENDING
TXN103645,2026-06-10 18:30:06,USR4748,USR6049,38903.57,IRCTC,Pune,PENDING
TXN130643,2026-06-10 18:30:06,USR3858,USR5559,46987.53,Myntra,Hyderabad,PENDING
TXN632265,2026-06-10 18:30:06,USR2761,USR1543,6481.06,BigBasket,Bangalore,FAILED
TXN844323,2026-06-10 18:30:06,USR4220,USR3101,715.73,IRCTC,Delhi,SUCCESS
TXN529585,2026-06-10 18:30:06,USR3779,USR1823,17933.87,Flipkart,Bangalore,SUCCESS
TXN498198,2026-06-10 18:30:06,USR5205,USR1101,10009.88,BigBasket,Delhi,SUCCESS
TXN842319,2026-06-10 18:30:06,USR6185,USR1060,4785.56,Amazon,Delhi,PENDING
TXN535996,2026-06-10 18:30:06,USR6373,USR9844,44931.26,Swiggy,Bangalore,FAILED
TXN551370,2026-06-10 18:30:06,USR4784,USR9628,36129.26,Swiggy,Mumbai,FAILED
TXN658819,2026-06-10 18:30:06,USR1953,USR4809,30564.23,Flipkart,Hyderabad,FAILED
TXN757803,2026-06-10 18:30:06,USR8571,USR3422,37965.41,BigBasket,Chennai,PENDING
TXN201539,2026-06-10 18:30:06,USR4881,USR7947,48154.88,BigBasket,Mumbai,SUCCESS
TXN560565,2026-06-10 18:30:06,USR6081,USR1667,28988.07,IRCTC,Hyderabad,PENDING
TXN577721,2026-06-10 18:30:06,USR5112,USR6320,2315.87,Amazon,Hyderabad,FAILED
TXN516077,2026-06-10 18:30:06,USR9284,USR1021,33515.94,Myntra,Bangalore,PENDING
TXN452669,2026-06-10 18:30:06,USR7146,USR7402,24077.14,Zomato,Chennai,PENDING
TXN806213,2026-06-10 18:30:06,USR5232,USR5302,14037.31,BigBasket,Delhi,SUCCESS
TXN500519,2026-06-10 18:30:06,USR5851,USR3603,10781.33,Zomato,Mumbai,SUCCESS
TXN657986,2026-06-10 18:30:06,USR1035,USR7140,45425.17,Amazon,Mumbai,FAILED
TXN620742,2026-06-10 18:30:06,USR7351,USR4845,37461.77,Amazon,Mumbai,FAILED
TXN853806,2026-06-10 18:30:06,USR7650,USR7303,24956.19,Amazon,Hyderabad,PENDING
TXN850646,2026-06-10 18:30:06,USR1994,USR5578,41144.37,IRCTC,Delhi,FAILED
TXN857485,2026-06-10 18:30:06,USR1191,USR3456,37561.87,Swiggy,Bangalore,SUCCESS
TXN152441,2026-06-10 18:30:06,USR5791,USR3184,32943.41,Swiggy,Bangalore,PENDING
TXN811755,2026-06-10 18:30:06,USR8157,USR3103,46642.39,Zomato,Chennai,FAILED
TXN447244,2026-06-10 18:30:06,USR9637,USR7528,10858.39,Amazon,Pune,SUCCESS
TXN683349,2026-06-10 18:30:06,USR4188,USR8549,38971.48,Flipkart,Hyderabad,FAILED
TXN915246,2026-06-10 18:30:06,USR2906,USR5545,48440.46,Myntra,Chennai,SUCCESS
TXN392079,2026-06-10 18:30:06,USR1078,USR1950,1782.36,Swiggy,Hyderabad,SUCCESS
TXN823392,2026-06-10 18:30:06,USR3280,USR1501,11907.2,Swiggy,Hyderabad,FAILED
TXN478563,2026-06-10 18:30:06,USR8177,USR3302,12326.21,BigBasket,Hyderabad,PENDING
TXN505396,2026-06-10 18:30:06,USR1829,USR5845,49920.74,Flipkart,Bangalore,FAILED
TXN318588,2026-06-10 18:30:06,USR2772,USR1649,12571.59,Zomato,Bangalore,FAILED
TXN384181,2026-06-10 18:30:06,USR2560,USR5821,34999.51,IRCTC,Mumbai,FAILED
TXN183913,2026-06-10 18:30:06,USR4293,USR3376,41521.88,IRCTC,Chennai,FAILED
TXN382980,2026-06-10 18:30:06,USR7728,USR1614,6408.53,Amazon,Mumbai,SUCCESS
TXN207677,2026-06-10 18:30:06,USR5769,USR6221,17216.2,IRCTC,Chennai,PENDING
TXN272967,2026-06-10 18:30:06,USR5265,USR3447,10529.74,Swiggy,Chennai,PENDING
TXN654019,2026-06-10 18:30:06,USR8849,USR6757,18545.91,Swiggy,Chennai,PENDING
TXN385348,2026-06-10 18:30:06,USR6686,USR4707,2664.01,Flipkart,Pune,SUCCESS
TXN182219,2026-06-10 18:30:06,USR3814,USR9645,32273.41,Zomato,Chennai,PENDING
TXN296786,2026-06-10 18:30:06,USR9134,USR4329,35516.63,Amazon,Pune,PENDING
TXN229585,2026-06-10 18:30:06,USR3230,USR3024,13508.84,Flipkart,Hyderabad,SUCCESS
TXN765122,2026-06-10 18:30:06,USR2167,USR1865,49375.29,Swiggy,Mumbai,SUCCESS
TXN641506,2026-06-10 18:30:06,USR7998,USR9183,20925.65,Zomato,Bangalore,PENDING
TXN399529,2026-06-10 18:30:06,USR2441,USR3523,14184.38,IRCTC,Bangalore,PENDING
TXN923031,2026-06-10 18:30:06,USR7786,USR3591,8356.15,Zomato,Delhi,FAILED
TXN888879,2026-06-10 18:30:06,USR4856,USR9168,3120.44,BigBasket,Bangalore,PENDING
TXN557611,2026-06-10 18:30:06,USR2144,USR3186,43001.46,Flipkart,Hyderabad,SUCCESS
TXN226967,2026-06-10 18:30:06,USR6489,USR8267,42633.92,BigBasket,Bangalore,SUCCESS
TXN970812,2026-06-10 18:30:06,USR5227,USR6694,6270.61,IRCTC,Bangalore,SUCCESS
TXN352927,2026-06-10 18:30:06,USR5776,USR9917,34086.22,IRCTC,Hyderabad,FAILED
TXN587341,2026-06-10 18:30:06,USR9492,USR7721,13508.65,Swiggy,Pune,FAILED
TXN500019,2026-06-10 18:30:06,USR5758,USR9984,24818.04,Zomato,Mumbai,FAILED
TXN908434,2026-06-10 18:30:06,USR8411,USR1394,29657.33,IRCTC,Chennai,PENDING
TXN808144,2026-06-10 18:30:06,USR9640,USR4049,25781.79,Myntra,Pune,SUCCESS
TXN210023,2026-06-10 18:30:06,USR2528,USR3214,33700.35,Swiggy,Mumbai,SUCCESS
TXN554441,2026-06-10 18:30:06,USR4968,USR3581,45063.51,BigBasket,Hyderabad,SUCCESS
TXN819778,2026-06-10 18:30:06,USR3036,USR7351,28074.78,Zomato,Chennai,SUCCESS
TXN478905,2026-06-10 18:30:06,USR1605,USR1766,37389.8,Amazon,Hyderabad,FAILED
TXN247758,2026-06-10 18:30:06,USR1420,USR6959,34120.97,Amazon,Delhi,SUCCESS
TXN549299,2026-06-10 18:30:06,USR8728,USR4295,862.02,IRCTC,Mumbai,SUCCESS
TXN517038,2026-06-10 18:30:06,USR8636,USR4727,35509.68,BigBasket,Hyderabad,PENDING
TXN838266,2026-06-10 18:30:06,USR7050,USR4051,32217.67,Amazon,Delhi,FAILED
TXN163176,2026-06-10 18:30:06,USR2584,USR9735,28225.07,Zomato,Hyderabad,SUCCESS
TXN107088,2026-06-10 18:30:06,USR1732,USR2348,1905.97,Amazon,Delhi,FAILED
TXN789350,2026-06-10 18:30:06,USR1956,USR3711,12686.75,Myntra,Bangalore,FAILED
TXN115354,2026-06-10 18:30:06,USR9786,USR1003,8655.9,Zomato,Delhi,PENDING
TXN762217,2026-06-10 18:30:06,USR3679,USR7892,13467.4,BigBasket,Chennai,SUCCESS
TXN942204,2026-06-10 18:30:06,USR4961,USR1087,17238.64,Zomato,Bangalore,PENDING
TXN116704,2026-06-10 18:30:06,USR3322,USR1765,44145.98,Amazon,Hyderabad,SUCCESS
TXN110800,2026-06-10 18:30:06,USR5689,USR8087,46902.64,IRCTC,Hyderabad,SUCCESS
TXN483199,2026-06-10 18:30:06,USR9790,USR6595,9142.23,Myntra,Chennai,PENDING
TXN549807,2026-06-10 18:30:06,USR8034,USR4137,28824.35,Swiggy,Delhi,SUCCESS
TXN384066,2026-06-10 18:30:06,USR5856,USR5376,38555.51,IRCTC,Chennai,SUCCESS
TXN745531,2026-06-10 18:30:06,USR4401,USR1598,36443.28,Swiggy,Bangalore,PENDING
TXN298102,2026-06-10 18:30:06,USR2301,USR1376,7146.06,Flipkart,Pune,FAILED
TXN102095,2026-06-10 18:30:06,USR2587,USR6006,31543.84,Flipkart,Delhi,PENDING
TXN250180,2026-06-10 18:30:06,USR1178,USR4406,46297.0,Amazon,Hyderabad,SUCCESS
TXN921048,2026-06-10 18:30:06,USR1297,USR3020,28426.86,Flipkart,Bangalore,SUCCESS
TXN945475,2026-06-10 18:30:06,USR8454,USR6495,44322.31,Myntra,Hyderabad,SUCCESS
TXN218381,2026-06-10 18:30:06,USR9716,USR3423,18667.18,Amazon,Mumbai,PENDING
TXN514384,2026-06-10 18:30:06,USR9157,USR1437,36538.72,Myntra,Delhi,PENDING
TXN412626,2026-06-10 18:30:06,USR4487,USR3073,272.23,Swiggy,Pune,FAILED
TXN298729,2026-06-10 18:30:06,USR4275,USR5380,1863.1,Zomato,Hyderabad,PENDING
TXN606495,2026-06-10 18:30:06,USR8749,USR2258,29253.73,Swiggy,Mumbai,SUCCESS
TXN424277,2026-06-10 18:30:06,USR4595,USR3096,13640.58,IRCTC,Delhi,FAILED
TXN515497,2026-06-10 18:30:06,USR7577,USR8177,33780.09,Flipkart,Chennai,SUCCESS
TXN668403,2026-06-10 18:30:06,USR8903,USR7522,17075.23,Amazon,Chennai,FAILED
TXN644038,2026-06-10 18:30:06,USR5861,USR7843,31423.78,Swiggy,Pune,FAILED
TXN619197,2026-06-10 18:30:06,USR2773,USR7175,8967.86,BigBasket,Bangalore,FAILED
TXN724928,2026-06-10 18:30:06,USR7832,USR7343,28391.32,Zomato,Delhi,FAILED
TXN665491,2026-06-10 18:30:06,USR8258,USR4609,38852.56,Flipkart,Bangalore,FAILED
TXN989308,2026-06-10 18:30:06,USR3701,USR2775,4888.92,Myntra,Hyderabad,FAILED
TXN632962,2026-06-10 18:30:06,USR9072,USR9115,15452.43,Swiggy,Mumbai,SUCCESS
TXN195668,2026-06-10 18:30:06,USR9122,USR2323,39520.68,Swiggy,Mumbai,FAILED
TXN381306,2026-06-10 18:30:06,USR3095,USR1806,9976.96,Flipkart,Chennai,SUCCESS
TXN781409,2026-06-10 18:30:06,USR2120,USR7239,31438.6,Amazon,Mumbai,FAILED
TXN955560,2026-06-10 18:30:06,USR1351,USR8889,46914.01,Myntra,Chennai,FAILED
TXN267716,2026-06-10 18:30:06,USR3829,USR4496,43041.51,Zomato,Delhi,PENDING
TXN879444,2026-06-10 18:30:06,USR1665,USR8251,13859.0,Amazon,Mumbai,FAILED
TXN356951,2026-06-10 18:30:06,USR5589,USR2062,36095.92,Amazon,Bangalore,FAILED
TXN806307,2026-06-10 18:30:06,USR9559,USR1171,39403.02,Zomato,Mumbai,PENDING
TXN234269,2026-06-10 18:30:06,USR2381,USR9856,29382.97,Swiggy,Hyderabad,FAILED
TXN813110,2026-06-10 18:30:06,USR7507,USR8161,32941.64,Zomato,Bangalore,PENDING
TXN409877,2026-06-10 18:30:06,USR8876,USR2025,14858.61,Swiggy,Bangalore,SUCCESS
TXN192231,2026-06-10 18:30:06,USR8450,USR3814,36586.75,Swiggy,Pune,SUCCESS
TXN170300,2026-06-10 18:30:06,USR3613,USR5231,38520.16,BigBasket,Chennai,FAILED
TXN442115,2026-06-10 18:30:06,USR2832,USR5308,20734.97,Swiggy,Delhi,PENDING
TXN124764,2026-06-10 18:30:06,USR7687,USR5134,49934.35,Amazon,Chennai,PENDING
TXN352969,2026-06-10 18:30:06,USR9886,USR9400,33401.95,Amazon,Delhi,SUCCESS
TXN755345,2026-06-10 18:30:06,USR2498,USR7497,46714.16,BigBasket,Chennai,PENDING
TXN730355,2026-06-10 18:30:06,USR2641,USR8717,8787.92,Zomato,Delhi,SUCCESS
TXN865995,2026-06-10 18:30:06,USR3295,USR1137,9945.0,Swiggy,Chennai,FAILED
TXN888980,2026-06-10 18:30:06,USR5575,USR7499,10711.46,Amazon,Bangalore,PENDING
TXN459953,2026-06-10 18:30:06,USR6156,USR2581,37465.3,BigBasket,Hyderabad,PENDING
TXN834088,2026-06-10 18:30:06,USR6423,USR9714,15282.66,Myntra,Bangalore,SUCCESS
TXN326515,2026-06-10 18:30:06,USR9820,USR4865,37180.16,Flipkart,Chennai,PENDING
TXN598893,2026-06-10 18:30:06,USR3781,USR3952,40250.08,Swiggy,Mumbai,SUCCESS
TXN200986,2026-06-10 18:30:06,USR4639,USR5121,8800.49,BigBasket,Mumbai,PENDING
TXN223316,2026-06-10 18:30:06,USR8237,USR6190,16028.67,Amazon,Chennai,FAILED
TXN474807,2026-06-10 18:30:06,USR5724,USR9466,12425.61,Zomato,Bangalore,PENDING
TXN575081,2026-06-10 18:30:06,USR6627,USR2550,9371.16,IRCTC,Chennai,SUCCESS
TXN971827,2026-06-10 18:30:06,USR6758,USR1590,15637.18,Myntra,Delhi,SUCCESS
TXN504730,2026-06-10 18:30:06,USR1037,USR6496,16890.69,Swiggy,Bangalore,PENDING
TXN352996,2026-06-10 18:30:06,USR1160,USR2846,887.52,IRCTC,Pune,PENDING
TXN556389,2026-06-10 18:30:06,USR3379,USR3827,36391.23,Amazon,Chennai,FAILED
TXN633509,2026-06-10 18:30:06,USR9958,USR5178,37024.9,Zomato,Bangalore,SUCCESS
TXN690708,2026-06-10 18:30:06,USR3881,USR4382,1551.25,Swiggy,Delhi,FAILED
TXN121328,2026-06-10 18:30:06,USR7954,USR8110,43353.82,BigBasket,Bangalore,PENDING
TXN777704,2026-06-10 18:30:06,USR7189,USR4439,5616.2,BigBasket,Chennai,SUCCESS
TXN874285,2026-06-10 18:30:06,USR5039,USR4713,47592.83,Zomato,Pune,FAILED
TXN531663,2026-06-10 18:30:06,USR3225,USR5232,31937.96,Zomato,Hyderabad,SUCCESS
TXN660031,2026-06-10 18:30:06,USR6392,USR1723,39977.48,Swiggy,Bangalore,FAILED
TXN222107,2026-06-10 18:30:06,USR5698,USR2199,5490.98,Swiggy,Bangalore,PENDING
TXN358282,2026-06-10 18:30:06,USR3242,USR5585,33836.42,Flipkart,Delhi,SUCCESS
TXN960677,2026-06-10 18:30:06,USR7232,USR4551,25926.43,IRCTC,Pune,FAILED
TXN257779,2026-06-10 18:30:06,USR1400,USR6949,17555.54,Myntra,Mumbai,SUCCESS
TXN927083,2026-06-10 18:30:06,USR4950,USR2033,20465.26,Flipkart,Mumbai,PENDING
TXN848151,2026-06-10 18:30:06,USR3534,USR5081,46442.23,IRCTC,Chennai,SUCCESS
TXN745594,2026-06-10 18:30:06,USR9098,USR3254,44788.29,Swiggy,Chennai,SUCCESS
TXN139235,2026-06-10 18:30:06,USR6494,USR8692,30108.25,Amazon,Mumbai,SUCCESS
TXN580880,2026-06-10 18:30:06,USR8597,USR3446,17770.44,Zomato,Chennai,PENDING
TXN687713,2026-06-10 18:30:06,USR2385,USR4466,2746.89,BigBasket,Bangalore,FAILED
TXN141285,2026-06-10 18:30:06,USR8754,USR6653,32628.53,BigBasket,Pune,FAILED
TXN166618,2026-06-10 18:30:06,USR4904,USR9571,44659.33,BigBasket,Mumbai,FAILED
TXN867437,2026-06-10 18:30:06,USR3365,USR4834,46408.83,IRCTC,Hyderabad,FAILED
TXN632166,2026-06-10 18:30:06,USR8548,USR3161,17406.82,Myntra,Bangalore,FAILED
TXN541366,2026-06-10 18:30:06,USR4658,USR7373,3363.13,IRCTC,Pune,FAILED
TXN428384,2026-06-10 18:30:06,USR9633,USR9665,13530.92,Amazon,Mumbai,FAILED
TXN513734,2026-06-10 18:30:06,USR5030,USR8831,33504.27,IRCTC,Hyderabad,PENDING
TXN851473,2026-06-10 18:30:06,USR8532,USR9161,48838.15,Flipkart,Bangalore,SUCCESS
TXN346368,2026-06-10 18:30:06,USR5204,USR1867,38316.95,BigBasket,Pune,FAILED
TXN530842,2026-06-10 18:30:06,USR8336,USR9285,5511.52,Swiggy,Delhi,SUCCESS
TXN300422,2026-06-10 18:30:06,USR1422,USR3269,43619.66,Zomato,Hyderabad,PENDING
TXN109236,2026-06-10 18:30:06,USR7492,USR9949,11891.27,Flipkart,Pune,FAILED
TXN816422,2026-06-10 18:30:06,USR7492,USR1375,37903.42,Amazon,Chennai,PENDING
TXN790115,2026-06-10 18:30:06,USR3057,USR1296,16118.9,Myntra,Bangalore,FAILED
TXN343755,2026-06-10 18:30:06,USR1622,USR1002,21864.84,Swiggy,Mumbai,PENDING
TXN433308,2026-06-10 18:30:06,USR6029,USR9171,3105.6,BigBasket,Delhi,FAILED
TXN479764,2026-06-10 18:30:06,USR7011,USR3739,14134.81,IRCTC,Chennai,SUCCESS
TXN806082,2026-06-10 18:30:06,USR5485,USR6444,46021.37,Zomato,Pune,PENDING
TXN268081,2026-06-10 18:30:06,USR7615,USR6919,11761.27,Flipkart,Delhi,FAILED
TXN410121,2026-06-10 18:30:06,USR3296,USR9067,12735.67,IRCTC,Chennai,PENDING
TXN369157,2026-06-10 18:30:06,USR6648,USR7157,44775.86,Zomato,Delhi,SUCCESS
TXN487844,2026-06-10 18:30:06,USR2502,USR4237,11469.85,Flipkart,Mumbai,PENDING
TXN961066,2026-06-10 18:30:06,USR5913,USR6586,3314.04,Swiggy,Bangalore,FAILED
TXN999740,2026-06-10 18:30:06,USR9230,USR5019,48976.03,IRCTC,Delhi,SUCCESS
TXN579718,2026-06-10 18:30:06,USR8835,USR8290,45271.53,BigBasket,Pune,FAILED
TXN560714,2026-06-10 18:30:06,USR6183,USR2727,2304.59,IRCTC,Mumbai,PENDING
TXN715575,2026-06-10 18:30:06,USR5725,USR3911,33138.59,Flipkart,Hyderabad,SUCCESS
TXN487766,2026-06-10 18:30:06,USR8655,USR8947,41031.99,Flipkart,Pune,SUCCESS
TXN646831,2026-06-10 18:30:06,USR9107,USR2343,47376.98,BigBasket,Delhi,SUCCESS
TXN438449,2026-06-10 18:30:06,USR6589,USR2652,40914.09,Swiggy,Chennai,FAILED
TXN958683,2026-06-10 18:30:06,USR9622,USR6632,4119.71,Amazon,Chennai,SUCCESS
TXN437927,2026-06-10 18:30:06,USR7878,USR3081,38659.79,BigBasket,Pune,SUCCESS
TXN955037,2026-06-10 18:30:06,USR7961,USR6309,17208.79,Zomato,Delhi,SUCCESS
TXN974907,2026-06-10 18:30:06,USR6209,USR5547,38245.27,Flipkart,Chennai,SUCCESS
TXN567779,2026-06-10 18:30:06,USR7655,USR9337,41976.79,Flipkart,Pune,PENDING
